Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/07/2020,SPR,,8,290
08/07/2020,Wellington Water and Sewer,,0,291
08/08/2020,Aurora,,26,292
08/08/2020,Boulder,,0,293
08/08/2020,Broomfield,,0,294
08/08/2020,CO Springs - JD Phillips,,0,295
08/08/2020,CO Springs - Las Vegas,,15,296
08/08/2020,Estes Park + Upper Thompson,,0,297
08/08/2020,Fort Collins - Boxelder,,0,298
08/08/2020,Fort Collins - Drake,,6,299
08/08/2020,Fort Collins - Mulberry,,0,300
08/08/2020,Greeley,,0,301
08/08/2020,Longmont,,0,302
08/08/2020,Louisville,,0,303
08/08/2020,Loveland,,0,304
08/08/2020,Metro Wastewater RWHTF - CC,,30,305
08/08/2020,Metro Wastewater RWHTF - PRC,,48,306
08/08/2020,Northglenn,,5,307
08/08/2020,Pueblo,,0,308
08/08/2020,Pueblo West,,0,309
08/12/2020,Fort Collins - Mulberry,,0,310
08/05/2020,Northglenn,,6,311
08/05/2020,Pueblo,,6,312
08/05/2020,Pueblo West,,0,313
08/05/2020,South Adams County,,7,314
08/05/2020,South Fort Collins,,0,315
08/05/2020,SPR,,14,316
08/05/2020,Wellington Water and Sewer,,0,317
08/06/2020,Aurora,23675,26,318
08/06/2020,Boulder,,0,319
08/06/2020,Broomfield,1348.2,0,320
08/06/2020,CO Springs - JD Phillips,23485.2,5,321
08/06/2020,CO Springs - Las Vegas,22157,20,322
08/06/2020,Estes Park + Upper Thompson,54446.7,0,323
08/06/2020,Fort Collins - Boxelder,3590.5,0,324
08/06/2020,Fort Collins - Drake,0,10,325
08/06/2020,Fort Collins - Mulberry,4994.6,7,326
08/06/2020,Greeley,5764.2,5,327
08/06/2020,Longmont,,0,328
08/06/2020,Louisville,5145.3,0,329
08/12/2020,Greeley,,5,330
08/12/2020,Longmont,,0,331
08/12/2020,Louisville,,0,332
08/12/2020,Loveland,,0,333
08/12/2020,Metro Wastewater RWHTF - CC,,34,334
08/12/2020,Metro Wastewater RWHTF - PRC,,52,335
08/12/2020,Northglenn,,0,336
08/12/2020,Pueblo,,5,337
08/12/2020,Pueblo West,,0,338
08/12/2020,South Adams County,,6,339
08/12/2020,South Fort Collins,,0,340
08/12/2020,SPR,,9,341
08/12/2020,Wellington Water and Sewer,,0,342
08/13/2020,Aurora,25467.2,22,343
08/13/2020,Boulder,4958.5,0,344
08/13/2020,Broomfield,979.2,0,345
08/13/2020,CO Springs - JD Phillips,13182.4,5,346
08/13/2020,CO Springs - Las Vegas,23777,23,347
08/13/2020,Estes Park + Upper Thompson,102439.4,0,348
08/13/2020,Fort Collins - Boxelder,23829.8,0,349
08/13/2020,Fort Collins - Drake,18605.5,8,350
08/17/2020,SPR,31424.9,6,351
08/17/2020,Wellington Water and Sewer,,0,352
08/18/2020,Aurora,,18,353
08/18/2020,Boulder,,5,354
08/18/2020,Broomfield,,0,355
08/18/2020,CO Springs - JD Phillips,,9,356
08/18/2020,CO Springs - Las Vegas,,17,357
08/18/2020,Estes Park + Upper Thompson,,0,358
08/18/2020,Fort Collins - Boxelder,,0,359
08/18/2020,Fort Collins - Drake,,9,360
08/18/2020,Fort Collins - Mulberry,,0,361
08/18/2020,Greeley,,0,362
08/18/2020,Longmont,,0,363
08/18/2020,Louisville,,0,364
08/18/2020,Loveland,,0,365
08/18/2020,Metro Wastewater RWHTF - CC,,28,366
08/18/2020,Metro Wastewater RWHTF - PRC,,45,367
08/18/2020,Northglenn,18254.8,0,368
08/18/2020,Pueblo,,6,369
08/18/2020,Pueblo West,,0,370
08/18/2020,South Adams County,,0,371
08/18/2020,South Fort Collins,,0,372
08/18/2020,SPR,,8,373
08/18/2020,Wellington Water and Sewer,,0,374
08/19/2020,Aurora,,21,375
08/19/2020,Boulder,,6,376
08/19/2020,Broomfield,,0,377
08/19/2020,CO Springs - JD Phillips,,8,378
08/19/2020,CO Springs - Las Vegas,,20,379
08/19/2020,Estes Park + Upper Thompson,,0,380
08/19/2020,Fort Collins - Boxelder,,0,381
08/19/2020,Fort Collins - Drake,,10,382
08/19/2020,Fort Collins - Mulberry,,0,383
08/19/2020,Greeley,,0,384
08/19/2020,Longmont,,0,385
08/19/2020,Louisville,,0,386
08/19/2020,Loveland,,0,387
08/19/2020,Metro Wastewater RWHTF - CC,,32,388
08/19/2020,Metro Wastewater RWHTF - PRC,,42,389
08/19/2020,Northglenn,,0,390
08/19/2020,Pueblo,,5,391
08/19/2020,Pueblo West,,0,392
08/19/2020,South Adams County,,0,393
08/19/2020,South Fort Collins,,0,394
08/19/2020,SPR,,9,395
08/19/2020,Wellington Water and Sewer,,0,396
08/20/2020,Aurora,29458.4,19,397
08/20/2020,Boulder,8227.3,5,398
08/20/2020,Broomfield,7451.3,0,399
08/20/2020,CO Springs - JD Phillips,9642,5,400
08/29/2020,Fort Collins - Boxelder,,0,401
08/29/2020,Fort Collins - Drake,,8,402
08/29/2020,Fort Collins - Mulberry,,0,403
08/29/2020,Greeley,,9,404
08/29/2020,Longmont,,0,405
08/29/2020,Louisville,,0,406
08/29/2020,Loveland,,0,407
08/29/2020,Metro Wastewater RWHTF - CC,,22,408
08/29/2020,Metro Wastewater RWHTF - PRC,,24,409
08/29/2020,Northglenn,,0,410
08/29/2020,Pueblo,,0,411
08/29/2020,Pueblo West,,0,412
08/29/2020,South Adams County,,7,413
08/29/2020,South Fort Collins,,0,414
08/29/2020,SPR,,8,415
08/29/2020,Wellington Water and Sewer,,0,416
08/30/2020,Aurora,,12,417
08/30/2020,Boulder,,5,418
08/30/2020,Broomfield,,0,419
08/30/2020,CO Springs - JD Phillips,,0,420
08/30/2020,CO Springs - Las Vegas,,10,421
08/30/2020,Estes Park + Upper Thompson,,0,422
08/30/2020,Fort Collins - Boxelder,,0,423
08/30/2020,Fort Collins - Drake,,5,424
08/30/2020,Fort Collins - Mulberry,,0,425
08/30/2020,Greeley,,8,426
08/30/2020,Longmont,,0,427
08/30/2020,Louisville,,0,428
08/30/2020,Loveland,,0,429
08/30/2020,Metro Wastewater RWHTF - CC,,15,430
08/30/2020,Metro Wastewater RWHTF - PRC,,27,431
08/30/2020,Northglenn,6100.8,0,432
08/30/2020,Pueblo,,0,433
08/30/2020,Pueblo West,,0,434
08/30/2020,South Adams County,,0,435
08/30/2020,South Fort Collins,,0,436
08/30/2020,SPR,,6,437
08/30/2020,Wellington Water and Sewer,,0,438
08/31/2020,Aurora,10397.3,16,439
08/31/2020,Boulder,23309.3,11,440
08/31/2020,Broomfield,2765.5,0,441
08/31/2020,CO Springs - JD Phillips,9200.4,0,442
08/31/2020,CO Springs - Las Vegas,8326.9,12,443
08/31/2020,Estes Park + Upper Thompson,3274.4,0,444
08/31/2020,Fort Collins - Boxelder,6979.8,0,445
08/31/2020,Fort Collins - Drake,7046.5,0,446
08/31/2020,Fort Collins - Mulberry,5286.9,0,447
08/31/2020,Greeley,14971.6,7,448
08/31/2020,Longmont,5078.5,0,449
08/31/2020,Louisville,879.6,0,450
08/20/2020,CO Springs - Las Vegas,20614.9,21,451
08/20/2020,Estes Park + Upper Thompson,16283.3,0,452
08/20/2020,Fort Collins - Boxelder,11451.4,0,453
08/20/2020,Fort Collins - Drake,37557.1,9,454
08/20/2020,Fort Collins - Mulberry,4983.8,0,455
08/20/2020,Greeley,3221.1,0,456
08/20/2020,Longmont,4737.7,0,457
08/20/2020,Louisville,1426.2,0,458
08/20/2020,Loveland,,0,459
08/20/2020,Metro Wastewater RWHTF - CC,,29,460
08/20/2020,Metro Wastewater RWHTF - PRC,3329.5,51,461
08/20/2020,Northglenn,,0,462
08/20/2020,Pueblo,15298.5,5,463
08/20/2020,Pueblo West,,0,464
08/20/2020,South Adams County,22079.7,0,465
08/20/2020,South Fort Collins,3267.5,0,466
08/20/2020,SPR,6634.5,8,467
08/20/2020,Wellington Water and Sewer,,0,468
08/21/2020,Aurora,,19,469
08/21/2020,Boulder,,5,470
08/21/2020,Broomfield,,0,471
08/21/2020,CO Springs - JD Phillips,,0,472
08/21/2020,CO Springs - Las Vegas,,17,473
08/21/2020,Estes Park + Upper Thompson,,0,474
08/21/2020,Fort Collins - Boxelder,,0,475
08/21/2020,Fort Collins - Drake,,6,476
08/21/2020,Fort Collins - Mulberry,,0,477
08/21/2020,Greeley,,0,478
08/21/2020,Longmont,,0,479
08/21/2020,Louisville,,0,480
08/21/2020,Loveland,,0,481
08/21/2020,Metro Wastewater RWHTF - CC,,35,482
08/21/2020,Metro Wastewater RWHTF - PRC,,52,483
08/21/2020,Northglenn,,0,484
08/21/2020,Pueblo,,5,485
08/21/2020,Pueblo West,,0,486
08/21/2020,South Adams County,,0,487
08/21/2020,South Fort Collins,,0,488
08/21/2020,SPR,,9,489
08/21/2020,Wellington Water and Sewer,,0,490
08/22/2020,Aurora,,22,491
08/22/2020,Boulder,,0,492
08/22/2020,Broomfield,,0,493
08/22/2020,CO Springs - JD Phillips,,0,494
08/22/2020,CO Springs - Las Vegas,,14,495
08/22/2020,Estes Park + Upper Thompson,,0,496
08/22/2020,Fort Collins - Boxelder,,0,497
08/22/2020,Fort Collins - Drake,,0,498
08/22/2020,Fort Collins - Mulberry,,0,499
08/22/2020,Greeley,,5,500
08/24/2020,Pueblo,15236,0,501
08/31/2020,Loveland,,0,502
08/22/2020,Longmont,,0,503
08/27/2020,Aurora,,18,504
09/05/2020,Broomfield,,0,505
09/05/2020,CO Springs - JD Phillips,,0,506
09/05/2020,CO Springs - Las Vegas,,9,507
09/05/2020,Estes Park + Upper Thompson,,0,508
09/05/2020,Fort Collins - Boxelder,,0,509
09/05/2020,Fort Collins - Drake,,6,510
09/05/2020,Fort Collins - Mulberry,,0,511
09/05/2020,Greeley,,7,512
09/05/2020,Longmont,,0,513
09/05/2020,Louisville,,0,514
09/05/2020,Loveland,,0,515
09/05/2020,Metro Wastewater RWHTF - CC,,23,516
09/05/2020,Metro Wastewater RWHTF - PRC,,40,517
09/05/2020,Northglenn,,0,518
09/05/2020,Pueblo,,0,519
09/05/2020,Pueblo West,,0,520
09/05/2020,South Adams County,,5,521
09/05/2020,South Fort Collins,,0,522
09/05/2020,SPR,,8,523
09/05/2020,Wellington Water and Sewer,,0,524
09/06/2020,Aurora,,16,525
09/06/2020,Boulder,,30,526
09/06/2020,Broomfield,,0,527
09/06/2020,CO Springs - JD Phillips,,0,528
09/06/2020,CO Springs - Las Vegas,,8,529
09/06/2020,Estes Park + Upper Thompson,,0,530
09/06/2020,Fort Collins - Boxelder,,0,531
09/06/2020,Fort Collins - Drake,,0,532
09/06/2020,Fort Collins - Mulberry,,0,533
09/06/2020,Greeley,,5,534
09/06/2020,Longmont,,0,535
09/06/2020,Louisville,,0,536
09/06/2020,Loveland,,0,537
09/06/2020,Metro Wastewater RWHTF - CC,,20,538
09/06/2020,Metro Wastewater RWHTF - PRC,,36,539
09/06/2020,Northglenn,,0,540
09/06/2020,Pueblo,,0,541
09/06/2020,Pueblo West,,0,542
09/06/2020,South Adams County,,0,543
09/06/2020,South Fort Collins,,0,544
09/06/2020,SPR,,6,545
09/06/2020,Wellington Water and Sewer,,0,546
09/07/2020,Aurora,,11,547
09/07/2020,Boulder,,36,548
09/07/2020,Broomfield,,0,549
09/07/2020,CO Springs - JD Phillips,,0,550
09/07/2020,CO Springs - Las Vegas,,11,551
09/07/2020,Estes Park + Upper Thompson,,0,552
09/07/2020,Fort Collins - Boxelder,,0,553
09/07/2020,Fort Collins - Drake,,0,554
09/02/2020,South Adams County,,8,555
08/22/2020,Louisville,,0,556
08/27/2020,Boulder,12215.9,6,557
08/31/2020,Metro Wastewater RWHTF - CC,,19,558
08/24/2020,Pueblo West,,0,559
08/31/2020,Metro Wastewater RWHTF - PRC,2456.2,39,560
08/31/2020,Northglenn,,0,561
08/31/2020,Pueblo,6071.7,0,562
08/31/2020,Pueblo West,,0,563
08/31/2020,South Adams County,5579,5,564
08/31/2020,South Fort Collins,0,0,565
08/31/2020,SPR,16126.6,10,566
08/31/2020,Wellington Water and Sewer,,0,567
09/01/2020,Aurora,,18,568
09/01/2020,Boulder,,17,569
09/01/2020,Broomfield,,0,570
09/01/2020,CO Springs - JD Phillips,,0,571
09/01/2020,CO Springs - Las Vegas,,9,572
09/01/2020,Estes Park + Upper Thompson,,0,573
09/01/2020,Fort Collins - Boxelder,,0,574
09/01/2020,Fort Collins - Drake,,8,575
09/01/2020,Fort Collins - Mulberry,,0,576
09/01/2020,Greeley,,8,577
09/01/2020,Longmont,,0,578
09/01/2020,Louisville,,0,579
09/01/2020,Loveland,,5,580
09/01/2020,Metro Wastewater RWHTF - CC,,23,581
09/01/2020,Metro Wastewater RWHTF - PRC,,46,582
09/01/2020,Northglenn,,0,583
09/01/2020,Pueblo,,0,584
09/01/2020,Pueblo West,,0,585
09/01/2020,South Adams County,,5,586
09/01/2020,South Fort Collins,,0,587
09/01/2020,SPR,,14,588
09/01/2020,Wellington Water and Sewer,,0,589
